song_id,genre,speaker_id,dry_weight,weight0,weight1,weight2,water_loss1,water_loss2,total_water_loss
17,Electronic,1,1.2113,2.2477,2.2048,2.1923,0.04289999999999994,0.012500000000000178,0.055400000000000116
17,Electronic,2,1.1592,2.1777,2.1416,2.1282,0.03610000000000024,0.013399999999999856,0.0495000000000001
18,Electronic,1,1.1566,2.5802,2.5016,2.4848,0.07860000000000023,0.016799999999999926,0.09540000000000015
18,Electronic,2,1.1554,2.3666,2.3311,2.3122,0.035499999999999865,0.01890000000000036,0.054400000000000226
19,Pop,1,1.1968,2.1593,2.1202,2.1101,0.03909999999999991,0.010099999999999998,0.04919999999999991
19,Pop,2,1.1916,2.2324,2.1959,2.181,0.0365000000000002,0.014899999999999913,0.05140000000000011
20,Rock,1,1.1075,2.0373,2.0001,1.9855,0.0371999999999999,0.014600000000000168,0.05180000000000007
20,Rock,2,1.1596,2.075,2.0393,2.028,0.03570000000000029,0.011299999999999866,0.04700000000000015
21,Hip Hop,1,1.2998,2.2838,2.2369,2.2242,0.04689999999999994,0.012699999999999712,0.05959999999999965
21,Hip Hop,2,1.2144,2.3033,2.2367,2.2223,0.06660000000000021,0.014399999999999746,0.08099999999999996
22,Hip Hop,1,1.2177,2.3788,2.3358,2.3208,0.04300000000000015,0.01499999999999968,0.05799999999999983
22,Hip Hop,2,1.2254,2.2927,2.2537,2.2304,0.039000000000000146,0.023299999999999876,0.06230000000000002
23,Hip Hop,1,1.3111,2.3314,2.2875,2.272,0.04389999999999983,0.015500000000000291,0.05940000000000012
23,Hip Hop,2,1.2154,2.285,2.2461,2.2281,0.038899999999999935,0.018000000000000238,0.05690000000000017
24,Hip Hop,1,1.3297,2.4325,2.3879,2.3777,0.04459999999999997,0.010200000000000209,0.05480000000000018
24,Hip Hop,2,1.4341,2.647,2.5999,2.5819,0.04709999999999992,0.017999999999999794,0.06509999999999971
25,Rock,1,1.0978,1.9947,1.9542,1.9433,0.04049999999999998,0.01089999999999991,0.05139999999999989
25,Rock,2,1.1569,2.1332,2.0992,2.084,0.03399999999999981,0.015200000000000102,0.04919999999999991
26,Hip Hop,1,1.2,2.2541,2.2016,2.1899,0.05250000000000021,0.011699999999999822,0.06420000000000003
26,Hip Hop,2,1.2692,2.2818,2.2447,2.2333,0.03710000000000013,0.011400000000000077,0.04850000000000021
27,Hip Hop,1,1.1422,2.1174,2.0662,2.0554,0.051200000000000134,0.010799999999999699,0.06199999999999983
27,Hip Hop,2,1.1502,1.8118,1.7707,1.7629,0.041100000000000136,0.007800000000000029,0.048900000000000166
28,Pop,1,1.4122,2.2941,2.2452,2.2415,0.04889999999999972,0.0037000000000002586,0.05259999999999998
28,Pop,2,1.3524,2.4704,2.4151,2.4066,0.05530000000000035,0.00849999999999973,0.06380000000000008
29,Pop,1,1.2939,2.302,2.2552,2.2435,0.046800000000000175,0.011699999999999822,0.058499999999999996
29,Pop,2,1.2571,2.3808,2.3278,2.3109,0.052999999999999936,0.016899999999999693,0.06989999999999963
30,Hip Hop,1,1.3294,2.4514,2.3997,2.3876,0.05169999999999986,0.012100000000000222,0.06380000000000008
30,Hip Hop,2,1.5387,2.8547,2.7955,2.7863,0.0591999999999997,0.009199999999999875,0.06839999999999957
31,Pop,1,1.0521,2.0705,2.0253,2.0197,0.04519999999999991,0.005600000000000271,0.05080000000000018
31,Pop,2,1.0975,2.1346,2.0753,2.0649,0.05929999999999991,0.010399999999999743,0.06969999999999965
32,Hip Hop,1,1.1072,2.1216,2.088,2.0762,0.03359999999999985,0.011800000000000033,0.045399999999999885
32,Hip Hop,2,1.0899,2.0766,2.0353,2.0251,0.041300000000000114,0.010199999999999765,0.05149999999999988
33,Pop,1,1.2687,2.4343,2.3871,2.3719,0.04719999999999969,0.015200000000000102,0.06239999999999979
33,Pop,2,1.3078,2.3795,2.3428,2.3226,0.03670000000000018,0.020199999999999996,0.05690000000000017
34,Soul,1,1.1045,2.0473,2.0149,2.0048,0.032399999999999984,0.010099999999999998,0.04249999999999998
34,Soul,2,1.0765,1.9325,1.9044,1.8935,0.028100000000000014,0.010900000000000132,0.039000000000000146
