,PCA_1,PCA_2,total_water_loss
125,-3.542677100556959,-0.05398634309598764,0.0359
126,-2.918942541364343,-0.04567105683173388,0.0241
127,-2.918942541364343,-0.04567105683173388,0.0198
128,-3.495889853612615,-0.32492070230486303,0.03
129,-3.495889853612615,-0.32492070230486303,0.0276
130,-3.2386598168824476,-0.3340756597111094,0.0276
131,-3.2386598168824476,-0.3340756597111094,0.0272
132,-3.9435998392913945,0.04619717390231949,0.0222
133,-3.9435998392913945,0.04619717390231949,0.0252
134,-3.2433679940650864,-0.26863296025561345,0.0224
135,-3.2433679940650864,-0.26863296025561345,0.0355
136,-3.326109002759636,0.5845019118462418,0.0368
137,-3.326109002759636,0.5845019118462418,0.0276
138,-3.38641165354592,0.23131104108733155,0.0337
139,-3.38641165354592,0.23131104108733155,0.0263
140,-3.4586985296608908,-0.10511738179868695,0.0234
141,-3.4586985296608908,-0.10511738179868695,0.0264
142,-3.0507604666784762,-0.2328034768245992,0.033
143,-3.0507604666784762,-0.2328034768245992,0.0237
144,-3.5344543028423043,-0.3073407380181537,0.049
145,-3.5344543028423043,-0.3073407380181537,0.028
146,-4.157607024996761,-0.15372128534991256,0.0286
147,-4.157607024996761,-0.15372128534991256,0.0293
148,-3.4483051178536215,-0.46885900692991783,0.0256
149,-3.4483051178536215,-0.46885900692991783,0.0253
150,-3.6392626532087533,-0.48496612713020504,0.0237
151,-3.6392626532087533,-0.48496612713020504,0.0218
152,-3.4439047654494988,-0.40386166617240804,0.0341
153,-3.4439047654494988,-0.40386166617240804,0.0394
154,-4.397216786196865,-0.17418789669897825,0.0257
155,-4.397216786196865,-0.17418789669897825,0.0235
156,-3.076925077311784,-0.1353874060529198,0.0227
157,-3.076925077311784,-0.1353874060529198,0.0229
158,-2.558242948695753,-0.44027712691741144,0.0429
159,-2.558242948695753,-0.44027712691741144,0.0257
160,-3.488827073062751,-0.15396075927111477,0.0297
161,-3.488827073062751,-0.15396075927111477,0.0422
162,-4.411042409136526,0.36855322590417905,0.0271
163,-4.411042409136526,0.36855322590417905,0.0281
164,-4.758625742978958,0.027621412089705158,0.0297
165,-4.758625742978958,0.027621412089705158,0.02
166,-3.6925204131849565,0.19890066073591925,0.0208
167,-3.6925204131849565,0.19890066073591925,0.0244
168,-3.0039939182120903,-0.3125805526869582,0.0267
169,-3.0039939182120903,-0.3125805526869582,0.0266
